OrderNo,GroupNo,WorkerNo,TaskNo
D0012,30,2,2
D0491,30,2,3
D0487,30,3,1
D0756,30,3,2
D0501,30,4,1
D0193,30,4,2
D0291,30,4,3
D0344,30,4,4
D0239,30,5,1
D0305,30,5,2
D0359,30,5,3
D0790,31,1,1
D0307,31,1,2
D0102,31,2,1
D0327,31,3,1
D0683,31,3,2
D0854,31,3,3
D0367,31,3,4
D0723,31,3,5
D0157,31,4,1
D0373,31,4,2
D0090,31,5,1
D0692,31,5,2
D0293,32,1,1
D0083,32,2,1
D0298,32,2,2
D0732,32,3,1
D0057,32,3,2
D0366,32,4,1
D0095,32,4,2
D0071,32,5,1
D0634,32,5,2
D0025,33,1,1
D0916,33,1,2
D0289,33,1,3
D0103,33,2,1
D0662,33,2,2
D0762,33,2,3
D0586,33,3,1
D0181,33,3,2
D0735,33,3,3
D0382,33,3,4
D0304,33,4,1
D0869,33,4,2
D0802,33,5,1
D0447,33,5,2
D0557,33,5,3
D0467,33,5,4
D0226,34,1,1
D0196,34,1,2
D0138,34,1,3
D0859,34,2,1
D0278,34,2,2
D0162,34,2,3
D0309,34,3,1
D0273,34,3,2
D0295,34,3,3
D0228,34,4,1
D0267,34,4,2
D0169,34,5,1
D0257,34,5,2
D0530,34,5,3
D0779,34,5,4
D0509,35,1,1
D0275,35,1,2
D0038,35,1,3
D0910,35,1,4
D0794,35,2,1
D0791,35,2,2
D0371,35,2,3
D0405,35,2,4
D0722,35,3,1
D0745,35,3,2
D0265,35,3,3
D0201,35,3,4
D0127,35,3,5
D0649,35,3,6
D0656,35,3,7
D0322,35,4,1
D0873,35,4,2
D0527,35,4,3
D0832,35,5,1
D0053,35,5,2
D0308,35,5,3
D0563,36,1,1
D0805,36,1,2
D0895,36,1,3
D0807,36,2,1
D0395,36,2,2
D0465,36,2,3
D0452,36,2,4
D0627,36,3,1
D0770,36,3,2
D0449,36,3,3
D0056,36,4,1
D0689,36,4,2
D0317,36,4,3
D0876,36,4,4
D0887,36,5,1
D0671,36,5,2
D0121,36,5,3
D0099,37,1,1
D0213,37,2,1
D0123,37,3,1
D0050,37,3,2
D0629,37,4,1
D0879,37,4,2
D0463,37,5,1
D0014,37,5,2
D0001,38,1,1
D0857,38,1,2
D0493,38,1,3
D0253,38,1,4
D0738,38,1,5
D0569,38,1,6
D0920,38,2,1
D0132,38,2,2
D0645,38,2,3
D0883,38,2,4
D0715,38,3,1
D0833,38,3,2
D0064,38,3,3
D0473,38,3,4
D0408,38,3,5
D0686,38,4,1
D0069,38,4,2
D0214,38,4,3
D0107,38,4,4
D0798,38,5,1
D0659,38,5,2
D0024,38,5,3
D0314,38,5,4
D0027,39,1,1
D0129,39,1,2
D0336,39,2,1
D0240,39,2,2
D0871,39,3,1
D0354,39,3,2
D0284,39,3,3
D0571,39,3,4
D0046,39,4,1
D0815,39,4,2
D0290,39,4,3
D0215,39,5,1
D0707,39,5,2
D0870,40,1,1
D0538,40,1,2
D0439,40,2,1
D0338,40,2,2
D0615,40,2,3
D0526,40,2,4
D0427,40,3,1
D0047,40,3,2
D0709,40,4,1
D0786,40,4,2
D0360,40,4,3
D0907,40,4,4
D0657,40,5,1
D0559,41,1,1
D0471,41,1,2
D0087,41,1,3
D0152,41,1,4
D0711,41,2,1
D0834,41,2,2
D0144,41,3,1
D0856,41,3,2
D0704,41,4,1
D0288,41,4,2
D0740,41,4,3
D0886,41,5,1
D0333,41,5,2
D0422,41,5,3
D0592,41,5,4
D0222,42,1,1
D0746,42,1,2
D0917,42,2,1
D0274,42,2,2
D0875,42,2,3
D0310,42,3,1
D0500,42,3,2
D0058,42,4,1
D0733,42,4,2
D0150,42,4,3
D0207,42,5,1
D0757,42,5,2
D0163,42,5,3
D0076,43,1,1
D0546,43,1,2
D0351,43,1,3
D0161,43,2,1
D0510,43,2,2
D0170,43,2,3
D0610,43,2,4
D0041,43,2,5
D0032,43,2,6
D0074,43,2,7
D0067,43,2,8
D0817,43,3,1
D0021,43,3,2
D0694,43,3,3
D0663,43,3,4
D0022,43,4,1
D0667,43,4,2
D0575,43,4,3
D0358,43,5,1
D0839,43,5,2
D0495,43,5,3
D0018,43,5,4
D0425,44,1,1
D0729,44,1,2
D0394,44,1,3
D0777,44,2,1
D0048,44,2,2
D0635,44,2,3
D0768,44,2,4
D0862,44,3,1
D0864,44,3,2
D0455,44,3,3
D0081,44,4,1
D0720,44,4,2
D0104,44,4,3
D0666,44,5,1
D0714,44,5,2
D0424,44,5,3
D0082,45,1,1
D0292,45,1,2
D0606,45,1,3
D0378,45,2,1
D0098,45,2,2
D0361,45,2,3
D0736,45,2,4
D0492,45,3,1
D0182,45,3,2
D0151,45,3,3
D0585,45,3,4
D0698,45,4,1
D0444,45,4,2
D0068,45,4,3
D0097,45,5,1
D0889,45,5,2
D0799,45,5,3
D0139,46,1,1
D0892,46,1,2
D0822,46,1,3
D0847,46,2,1
D0918,46,2,2
D0587,46,2,3
D0888,46,3,1
D0437,46,3,2
D0835,46,3,3
D0765,46,4,1
D0611,46,4,2
D0885,46,4,3
D0030,46,5,1
D0829,46,5,2
D0503,46,5,3
D0567,47,1,1
D0013,47,1,2
D0055,47,1,3
D0521,47,1,4
D0263,47,2,1
D0381,47,2,2
D0007,47,2,3
D0685,47,3,1
D0020,47,3,2
D0108,47,4,1
D0379,47,4,2
D0672,47,5,1
D0165,47,5,2
D0186,47,5,3
D0122,47,5,4
D0843,48,1,1
D0636,48,1,2
D0135,48,1,3
D0009,48,1,4
D0008,48,1,5
D0311,48,1,6
D0669,48,2,1
D0489,48,2,2
D0813,48,2,3
D0594,48,3,1
D0676,48,3,2
D0806,48,3,3
D0200,48,4,1
D0742,48,4,2
D0015,48,4,3
D0780,48,4,4
D0673,48,5,1
D0238,48,5,2
D0522,48,5,3
D0866,48,5,4
D0268,49,1,1
D0519,49,1,2
D0603,49,2,1
D0793,49,2,2
D0582,49,2,3
D0568,49,2,4
D0362,49,2,5
D0725,49,3,1
D0608,49,3,2
D0369,49,3,3
D0908,49,4,1
D0072,49,4,2
D0520,49,5,1
D0410,49,5,2
D0814,49,5,3
D0256,49,5,4
D0112,50,1,1
D0716,50,1,2
D0242,50,1,3
D0387,50,1,4
D0842,50,1,5
D0695,50,1,6
D0441,50,2,1
D0593,50,2,2
D0264,50,2,3
D0712,50,2,4
D0287,50,2,5
D0398,50,2,6
D0752,50,3,1
D0506,50,3,2
D0086,50,3,3
D0549,50,3,4
D0699,50,3,5
D0808,50,4,1
D0342,50,4,2
D0202,50,4,3
D0556,50,4,4
D0558,50,5,1
D0105,50,5,2
D0045,50,5,3
D0044,50,5,4
D0531,50,5,5
D0005,50,5,6
D0451,50,5,7
D0350,50,5,8
D0641,51,1,1
D0642,51,1,2
D0782,51,2,1
D0353,51,2,2
D0688,51,3,1
D0763,51,3,2
D0450,51,3,3
D0004,51,4,1
D0648,51,4,2
D0236,51,4,3
D0921,51,5,1
D0335,51,5,2
D0185,51,5,3
D0576,52,1,1
D0457,52,1,2
D0853,52,2,1
D0109,52,2,2
D0296,52,2,3
D0816,52,2,4
D0393,52,3,1
D0330,52,3,2
D0120,52,4,1
D0602,52,4,2
D0111,52,5,1
D0065,52,5,2
D0590,53,1,1
D0584,53,1,2
D0286,53,2,1
D0272,53,2,2
D0773,53,2,3
D0300,53,3,1
D0383,53,3,2
D0812,53,3,3
D0844,53,4,1
D0902,53,4,2
D0923,53,4,3
D0850,53,4,4
D0643,53,5,1
D0588,53,5,2
D0552,54,1,1
D0167,54,2,1
D0380,54,2,2
D0341,54,3,1
D0326,54,3,2
D0040,54,4,1
D0705,54,4,2
D0331,54,5,1
D0668,54,5,2
D0693,54,5,3
D0316,54,5,4
D0863,54,5,5
D0073,55,1,1
D0750,55,1,2
D0831,55,1,3
D0346,55,1,4
D0247,55,2,1
D0855,55,2,2
D0827,55,2,3
D0334,55,3,1
D0687,55,3,2
D0404,55,3,3
D0796,55,3,4
D0681,55,4,1
D0028,55,4,2
D0052,55,4,3
D0313,55,4,4
D0390,55,5,1
D0604,55,5,2
D0421,55,5,3
D0156,55,5,4
D0677,56,1,1
D0502,56,1,2
D0191,56,2,1
D0485,56,2,2
D0438,56,3,1
D0442,56,4,1
D0675,56,4,2
D0364,56,4,3
D0285,56,4,4
D0385,56,4,5
D0297,56,5,1
D0321,56,5,2
D0710,57,1,1
D0898,57,1,2
D0721,57,2,1
D0748,57,2,2
D0922,57,2,3
D0484,57,3,1
D0858,57,3,2
D0088,57,3,3
D0911,57,4,1
D0872,57,4,2
D0389,57,5,1
D0396,57,5,2
D0702,58,1,1
D0682,58,2,1
D0661,58,2,2
D0778,58,3,1
D0276,58,3,2
D0788,58,3,3
D0523,58,4,1
D0624,58,4,2
D0533,58,5,1
D0255,58,5,2
D0418,58,5,3
D0564,58,5,4
D0897,59,1,1
D0511,59,1,2
D0234,59,1,3
D0836,59,2,1
D0795,59,3,1
D0664,59,4,1
D0605,59,4,2
D0560,59,4,3
D0230,59,4,4
D0867,59,4,5
D0343,59,5,1
